ds,yhat,yhat_lower,yhat_upper
2015-03-31,1251.590319562135,-1464.642943575194,4108.46786535232
2015-04-02,1470.1636059141617,-1060.0399263970573,4385.44367997161
2015-04-04,1245.8470731994144,-1350.6829749079982,4193.2511884511605
2015-04-05,1391.4692229046827,-1238.786842981687,4079.164864330762
2015-04-06,1568.6180711491022,-1202.653493591891,4323.250192393966
2015-04-07,959.8142022734431,-1888.2894382706572,3750.959390389443
2015-04-09,1253.513610541629,-1325.758961566029,4146.335632812163
2015-04-10,1507.1623457180983,-1284.3766757100175,4303.4490073722845
2015-04-11,1102.9368429813587,-1763.8147759102785,3858.062694950558
2015-04-12,1282.5178461064284,-1615.3940692559722,3996.293317726406
2015-04-13,1490.6143120904585,-1185.4035387602842,4221.982887006299
2015-04-14,909.1034635130895,-1986.1505846629896,3565.4297787410583
2015-04-16,1244.5754214596018,-1428.3398469299473,4160.872423220339
2015-04-17,1512.1604479516163,-1217.254927727819,4114.486831371845
2015-04-18,1117.1332100221396,-1474.2823774952385,4041.466966194574
2015-04-19,1301.2838513517274,-1291.157362909938,3926.4097996891583
2015-04-20,1509.5712934971589,-1179.3467163143825,4307.495121877755
2015-04-21,924.2508503096468,-1881.0757212290316,3714.560717922288
2015-04-22,51.912748025992414,-2746.1652035397856,2826.671496487562
2015-04-24,1497.2317551663382,-1270.7516481140888,4352.240447365829
2015-04-25,1088.1362158878983,-1708.8373483736927,3837.2439191343856
2015-04-26,1257.4009771060475,-1333.4867038731406,4264.4370633140525
2015-04-27,1450.7298736342589,-1247.5109314176548,4182.550867327585
2015-04-28,851.1063562701319,-2046.2101533713649,3483.8799313179034
2015-04-29,-34.189562249404844,-2755.2590647825014,2723.3384693492053
2015-04-30,1145.0750025417208,-1533.888322542956,3906.1871124855684
2015-05-01,1391.6994321451928,-1395.7192191249148,4426.444612203145
2015-05-02,977.1511538697107,-1657.4915999325092,3668.549541548714
2015-05-03,1144.319896102871,-1554.6798294273005,3844.2890471877317
2015-05-04,1339.1574529750114,-1361.661881987369,4097.94181090786
2015-05-07,1060.3552850139833,-1664.0427980295199,3773.5898321310533
2015-05-08,1323.014781242173,-1399.2542877172975,4159.228553481992
2015-05-09,927.5842692768372,-1800.083836148918,3809.0741824639304
2015-05-10,1116.529214661067,-1551.0463036314165,3726.624586709169
2015-05-11,1335.2954008909492,-1430.7440411758714,4112.834176190655
2015-05-12,766.423821602578,-2071.4587200084466,3349.9805084262307
2015-05-13,-83.41734990675809,-2982.562076887181,2677.3856245255542
2015-05-14,1135.2431669089767,-2025.00625619115,3811.2152518767584
2015-05-15,1424.316950098309,-1356.790067861315,4216.912925159217
2015-05-16,1054.2841917961894,-1623.0991004078296,3649.2513359594273
2015-05-17,1266.9771052582764,-1558.3027309966499,4025.2422680911923
2015-05-18,1507.2503563685655,-1295.7282371500023,4173.317076974354
2015-05-20,122.76820850775357,-2901.8216045791064,2987.263587926766
2015-05-21,1353.313216039189,-1269.4199685076126,4087.723709120259
2015-05-22,1650.3733396149923,-1055.3457765999453,4314.01506665175
2015-05-23,1284.242895241293,-1367.821800858314,4226.851615786822
2015-05-24,1496.6709520786146,-1282.1721363418028,4260.289685283133
2015-05-25,1732.532449175524,-1200.1782981905035,4362.0238886102725
